timestamp,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,gps_speed_mps,gps_timestamp
15:00.0,-0.001,1.001,0.013,-0.07,0.02,0.17,0,15:00.0
15:00.1,0,1.003,0.009,-0.81,-0.39,-0.82,0,15:00.0
15:00.2,0.009,1.004,-0.014,0.96,0.93,0.31,0,15:00.0
15:00.3,0.003,0.993,-0.015,0.06,-0.88,-0.62,0,15:00.0
15:00.4,-0.008,0.991,-0.001,-0.12,0.68,0.04,0,15:00.0
15:00.5,0.004,1,0.005,-0.09,-0.44,1,0,15:00.0
15:00.6,0.015,1.007,0.006,-0.37,-0.54,-0.42,0,15:00.0
15:00.7,-0.013,1.005,-0.003,0.69,-0.23,0.92,0,15:00.0
15:00.8,0.01,0.99,-0.009,0.82,-0.06,0.96,0,15:00.0
15:00.9,-0.003,0.991,0.004,0.56,-0.46,-0.83,0,15:00.0
15:01.0,-0.047,1.121,0.031,-10.7,-4.57,-9.57,0,15:01.0
15:01.1,0.083,0.916,0.007,-1.47,-5.57,5.57,0,15:01.0
15:01.2,-0.103,1.037,-0.046,-2.22,-5.17,-5.52,0,15:01.0
15:01.3,0.132,1.079,-0.024,10.78,-5.21,-2.54,0,15:01.0
15:01.4,0.014,1.004,0.104,1.96,-0.57,-0.48,0,15:01.0
15:01.5,0.011,0.995,0.112,-1.71,-0.82,0.17,0,15:01.0
15:01.6,-0.01,1.003,0.115,-0.19,0.92,-0.03,0,15:01.0
15:01.7,0.003,1.011,0.107,-1.38,0.82,0.64,0,15:01.0
15:01.8,-0.01,0.991,0.13,1.76,-0.61,0.9,0,15:01.0
15:01.9,0.015,1.003,0.117,-1.58,-0.92,0.93,0,15:01.0
15:02.0,-0.01,1.006,0.11,1.29,0.19,-0.41,2,15:02.0
15:02.1,0.009,0.987,0.109,0.24,0.7,0.23,2,15:02.0
15:02.2,-0.009,1.013,0.108,-1.93,-0.46,-0.11,2,15:02.0
15:02.3,-0.018,0.99,0.115,0.29,-0.74,-0.28,2,15:02.0
15:02.4,0.016,1.014,0.006,0.57,0.17,-0.72,2,15:02.0
15:02.5,-0.019,0.986,0.016,0.6,0.93,-0.96,2,15:02.0
15:02.6,0.005,0.999,0.009,-0.54,1,-0.85,2,15:02.0
15:02.7,0.002,1.007,0.016,0.71,0.41,0.59,2,15:02.0
15:02.8,0.017,0.996,0.007,1.2,0.74,-0.17,2,15:02.0
15:02.9,0.012,1.011,0.003,0.37,-0.24,0.17,2,15:02.0
15:03.0,0.004,0.987,0.006,1.48,0.76,0.46,5.11,15:03.0
15:03.1,0.009,1.002,-0.002,1.02,-0.83,0.5,5.11,15:03.0
15:03.2,-0.019,1.003,-0.001,-0.81,0.4,-0.01,5.11,15:03.0
15:03.3,0.005,1.013,-0.01,-1.47,-0.4,0.36,5.11,15:03.0
15:03.4,-0.012,0.99,0.016,0.48,-0.12,0.78,5.11,15:03.0
15:03.5,-0.007,1.005,-0.012,-0.21,0.61,0.83,5.11,15:03.0
15:03.6,0.015,0.997,0.003,-0.55,-0.73,-0.01,5.11,15:03.0
15:03.7,0.013,1.01,0.008,1.35,-0.45,-0.66,5.11,15:03.0
15:03.8,-0.002,0.993,-0.011,-0.26,0.25,-0.01,5.11,15:03.0
15:03.9,-0.011,1.014,0.459,-3.14,-0.85,-0.94,5.11,15:03.0
15:04.0,0.022,0.982,0.395,-2.49,-0.38,0.58,8.52,15:04.0
15:04.1,-0.022,0.998,0.298,-1.41,-0.53,-0.72,8.52,15:04.0
15:04.2,-0.027,1.005,0.29,-1.71,0.31,0.61,8.52,15:04.0
15:04.3,0.028,1.007,0.228,-1.87,-0.64,-0.98,8.52,15:04.0
15:04.4,-0.002,1.009,0.184,-2.18,-0.31,0.39,8.52,15:04.0
15:04.5,0.001,1.005,0.188,-1.52,0.58,0.81,8.52,15:04.0
15:04.6,-0.025,1.017,0.144,-2.01,-0.09,0.25,8.52,15:04.0
15:04.7,0.025,0.995,0.09,0.54,0.59,0.89,8.52,15:04.0
15:04.8,-0.002,1.006,0.018,0.37,0.64,0.28,8.52,15:04.0
15:04.9,0.009,0.991,0.016,1.44,0.95,0.07,8.52,15:04.0
15:05.0,0.012,0.995,0.016,1.07,-0.3,-0.83,13.98,15:05.0
15:05.1,0.002,1.008,-0.001,-1.41,0.62,-0.87,13.98,15:05.0
15:05.2,0.012,0.99,-0.007,0.86,-0.72,-0.7,13.98,15:05.0
15:05.3,0.001,1.007,0.014,0.57,0.89,-0.01,13.98,15:05.0
15:05.4,0.018,0.988,-0.011,0.08,-0.42,0.46,13.98,15:05.0
15:05.5,0.006,1.001,0.014,0.18,-0.38,-0.24,13.98,15:05.0
15:05.6,0.014,1.012,-0.012,1.05,0.94,0.05,13.98,15:05.0
15:05.7,0.003,0.991,0.001,0.01,0.21,-0.94,13.98,15:05.0
15:05.8,0.019,1,-0.004,0.9,0.13,-0.02,13.98,15:05.0
15:05.9,0.008,0.987,0.002,-0.26,0.91,0.85,13.98,15:05.0
