feature,importance
negative_az_fraction_w0.25s,0.10807308
gyro_x_dps_absmax_w0.5s,0.077493005
accel_y_delta_g_range_w0.5s,0.07074343
accel_z_filt_g_mean_w0.25s,0.06266946
accel_z_filt_g_max_w0.25s,0.06134664
accel_y_delta_g_max_w0.25s,0.05894939
gps_speed_mps,0.05852074
gyro_y_dps_mean_w0.5s,0.05003944
accel_z_filt_g_min_w0.25s,0.04927398
accel_z_filt_g_min_w0.5s,0.04861184
accel_z_filt_g_max_w0.5s,0.0478809
jerk_z_gps_min_w1s,0.03060954
accel_y_delta_g_max_w0.5s,0.029451003
gyro_z_dps_absmax_w0.5s,0.025411686
gyro_x_dps_rms_w0.5s,0.023200862
gyro_x_dps_absmax_w0.25s,0.02072614
accel_z_filt_g_max_w1s,0.019070763
gyro_x_dps_zcr_w0.5s,0.016455755
accel_y_delta_g_min_w0.25s,0.013180397
accel_x_filt_g_absmax_w0.5s,0.012574126
accel_y_delta_g_range_w0.25s,0.012183352
gyro_y_dps_mean_w0.25s,0.008143702
accel_y_delta_g_range_w2s,0.0068625193
accel_x_filt_g_rms_w0.5s,0.0048781913
gyro_y_dps_rms_w0.5s,0.0042549283
gyro_x_dps_rms_w0.25s,0.0035849498
gyro_magnitude_dps_rms_w0.25s,0.0033095528
accel_z_filt_g_rms_w0.25s,0.0032864516
gyro_x_dps_rms_w1s,0.0029491382
accel_z_filt_g_min_w1s,0.0029406191
gyro_magnitude_dps_rms_w0.5s,0.0029027339
jerk_z_gps_absmax_w0.25s,0.002894886
jerk_z_gps_max_w0.5s,0.0028646404
gyro_y_dps_absmax_w0.5s,0.0028480438
jerk_z_gps_rms_w0.5s,0.002722293
jerk_z_gps_absmax_w0.5s,0.002704624
accel_x_filt_g_rms_w0.25s,0.0026602675
gyro_z_dps_rms_w0.25s,0.0022863895
accel_x_filt_g_absmax_w0.25s,0.002223263
accel_x_filt_g_rms_w2s,0.0021833407
history_fraction_w2s,0.0019485625
jerk_z_gps_min_w2s,0.0018740571
jerk_z_gps_max_w2s,0.0018533202
accel_z_filt_g_max_w2s,0.0018395303
gyro_y_dps_mean_w1s,0.0017585477
jerk_z_gps_min_w0.5s,0.0016441888
gps_speed_delta_w2s,0.001492303
gyro_x_dps_high_band_ratio_w1s,0.0014300988
accel_z_filt_g_mean_w1s,0.0013745176
accel_y_delta_g_min_w2s,0.0013740204
gyro_y_dps_mean_w2s,0.0013717839
accel_x_filt_g_rms_w1s,0.0013542806
gyro_magnitude_dps_rms_w1s,0.0013264879
jerk_z_gps_absmax_w2s,0.0013257248
gyro_y_dps_absmax_w1s,0.0012849265
jerk_z_gps_rms_w1s,0.0010448146
gyro_x_dps_zcr_w2s,0.00096244476
gyro_z_dps_high_band_ratio_w2s,0.00096163474
gyro_y_dps_rms_w2s,0.0009497886
jerk_z_gps_rms_w0.25s,0.0008903954
jerk_z_gps_absmax_w1s,0.00080198084
gyro_z_dps_rms_w2s,0.000793778
gps_age_s,0.00078888086
accel_x_filt_g_absmax_w2s,0.00075589947
gyro_magnitude_dps_rms_w2s,0.00069644273
accel_y_delta_g_min_w1s,0.0006663321
gyro_x_dps_high_band_ratio_w2s,0.0006535453
gyro_y_dps_rms_w0.25s,0.0005353972
accel_y_delta_g_min_w0.5s,0.0005110103
gyro_x_dps_zcr_w0.25s,0.00044037806
jerk_z_gps_max_w0.25s,0.00043254325
gyro_z_dps_high_band_ratio_w1s,0.0003722297
gyro_z_dps_absmax_w2s,0.00035237553
jerk_z_gps_min_w0.25s,0.00031843703
jerk_z_gps_max_w1s,0.00029293884
gyro_y_dps_absmax_w0.25s,0.00028807914
gyro_y_dps_absmax_w2s,0.0002067671
accel_z_filt_g_mean_w0.5s,6.561654e-05
accel_x_filt_g_absmax_w1s,0.0
accel_y_delta_g_max_w1s,0.0
accel_y_delta_g_max_w2s,0.0
accel_y_delta_g_range_w1s,0.0
accel_z_filt_g_mean_w2s,0.0
accel_z_filt_g_min_w2s,0.0
accel_z_filt_g_rms_w0.5s,0.0
accel_z_filt_g_rms_w1s,0.0
accel_z_filt_g_rms_w2s,0.0
gps_is_recent,0.0
gps_speed_delta_w0.25s,0.0
gps_speed_delta_w0.5s,0.0
gps_speed_delta_w1s,0.0
gps_speed_slope_w0.25s,0.0
gps_speed_slope_w0.5s,0.0
gps_speed_slope_w1s,0.0
gps_speed_slope_w2s,0.0
gyro_x_dps_absmax_w1s,0.0
gyro_x_dps_absmax_w2s,0.0
gyro_x_dps_high_band_ratio_w0.5s,0.0
gyro_x_dps_rms_w2s,0.0
gyro_x_dps_zcr_w1s,0.0
gyro_y_dps_rms_w1s,0.0
gyro_z_dps_absmax_w0.25s,0.0
gyro_z_dps_absmax_w1s,0.0
gyro_z_dps_high_band_ratio_w0.5s,0.0
gyro_z_dps_rms_w0.5s,0.0
gyro_z_dps_rms_w1s,0.0
gyro_z_dps_zcr_w0.25s,0.0
gyro_z_dps_zcr_w0.5s,0.0
gyro_z_dps_zcr_w1s,0.0
gyro_z_dps_zcr_w2s,0.0
history_fraction_w0.25s,0.0
history_fraction_w0.5s,0.0
history_fraction_w1s,0.0
jerk_z_gps_rms_w2s,0.0
negative_az_fraction_w0.5s,0.0
negative_az_fraction_w1s,0.0
negative_az_fraction_w2s,0.0
positive_az_fraction_w0.25s,0.0
positive_az_fraction_w0.5s,0.0
positive_az_fraction_w1s,0.0
positive_az_fraction_w2s,0.0
valid_fraction_w0.25s,0.0
valid_fraction_w0.5s,0.0
valid_fraction_w1s,0.0
valid_fraction_w2s,0.0
