event_id,session_id,start_time_s,end_time_s,label,confidence,peak_time_s,duration_s,severity,source
full_50hz_pred_0001,full_50hz,6.08,6.16,Pothole/Bump,0.577417,6.08,0.08,weak,streaming_rule_v2
full_50hz_pred_0002,full_50hz,81.46,81.7,Pothole/Bump,0.631963,81.64,0.24,weak,streaming_rule_v2
full_50hz_pred_0003,full_50hz,88.4,88.9,Pothole/Bump,0.798634,88.74,0.5,moderate,streaming_rule_v2
full_50hz_pred_0004,full_50hz,99.44,100.54,Pothole/Bump,1.0,99.48,1.1,strong,streaming_rule_v2
full_50hz_pred_0005,full_50hz,114.72,115.24,Pothole/Bump,0.891796,114.76,0.52,strong,streaming_rule_v2
full_50hz_pred_0006,full_50hz,152.68,153.52,Pothole/Bump,1.0,152.88,0.84,strong,streaming_rule_v2
full_50hz_pred_0007,full_50hz,174.12,174.68,Harsh Acceleration,1.0,174.26,0.56,strong,streaming_rule_v2
full_50hz_pred_0008,full_50hz,175.98,177.46,Pothole/Bump,1.0,176.04,1.48,strong,streaming_rule_v2
full_50hz_pred_0009,full_50hz,222.3,222.86,Harsh Braking,1.0,222.44,0.56,strong,streaming_rule_v2
full_50hz_pred_0010,full_50hz,241.98,242.46,Harsh Braking,1.0,242.08,0.48,strong,streaming_rule_v2
full_50hz_pred_0011,full_50hz,252.58,253.14,Harsh Acceleration,1.0,252.72,0.56,strong,streaming_rule_v2
full_50hz_pred_0012,full_50hz,255.26,255.52,Pothole/Bump,1.0,255.3,0.26,strong,streaming_rule_v2
full_50hz_pred_0013,full_50hz,299.38,299.7,Pothole/Bump,1.0,299.64,0.32,strong,streaming_rule_v2
full_50hz_pred_0014,full_50hz,321.48,322.04,Clutch Release,0.930557,321.72,0.56,strong,streaming_rule_v2
full_50hz_pred_0015,full_50hz,333.98,334.64,Harsh Acceleration,1.0,334.12,0.66,strong,streaming_rule_v2
full_50hz_pred_0016,full_50hz,386.46,388.22,Harsh Braking,1.0,386.52,1.76,strong,streaming_rule_v2
full_50hz_pred_0017,full_50hz,418.88,419.74,Pothole/Bump,1.0,419.12,0.86,strong,streaming_rule_v2
full_50hz_pred_0018,full_50hz,422.08,422.76,Harsh Acceleration,1.0,422.2,0.68,strong,streaming_rule_v2
full_50hz_pred_0019,full_50hz,430.54,431.12,Harsh Acceleration,1.0,430.68,0.58,strong,streaming_rule_v2
full_50hz_pred_0020,full_50hz,443.32,444.08,Harsh Acceleration,1.0,443.5,0.76,strong,streaming_rule_v2
full_50hz_pred_0021,full_50hz,470.14,470.54,Pothole/Bump,0.795529,470.46,0.4,moderate,streaming_rule_v2
full_50hz_pred_0022,full_50hz,490.24,490.56,Harsh Acceleration,1.0,490.34,0.32,strong,streaming_rule_v2
full_50hz_pred_0023,full_50hz,501.38,501.78,Pothole/Bump,0.84601,501.38,0.4,moderate,streaming_rule_v2
full_50hz_pred_0024,full_50hz,559.36,559.96,Harsh Braking,1.0,559.5,0.6,strong,streaming_rule_v2
full_50hz_pred_0025,full_50hz,588.34,588.74,Pothole/Bump,0.581794,588.36,0.4,weak,streaming_rule_v2
full_50hz_pred_0026,full_50hz,593.82,594.34,Pothole/Bump,0.780758,593.88,0.52,moderate,streaming_rule_v2
full_50hz_pred_0027,full_50hz,595.32,596.66,Pothole/Bump,1.0,595.36,1.34,strong,streaming_rule_v2
full_50hz_pred_0028,full_50hz,633.26,633.68,Harsh Braking,1.0,633.4,0.42,strong,streaming_rule_v2
full_50hz_pred_0029,full_50hz,640.34,641.06,Harsh Acceleration,1.0,640.48,0.72,strong,streaming_rule_v2
full_50hz_pred_0030,full_50hz,663.78,664.04,Pothole/Bump,1.0,663.98,0.26,strong,streaming_rule_v2
full_50hz_pred_0031,full_50hz,687.88,689.36,Pothole/Bump,0.813129,687.92,1.48,moderate,streaming_rule_v2
full_50hz_pred_0032,full_50hz,700.88,701.74,Harsh Acceleration,1.0,701.02,0.86,strong,streaming_rule_v2
full_50hz_pred_0033,full_50hz,720.7,721.22,Harsh Acceleration,1.0,720.84,0.52,strong,streaming_rule_v2
full_50hz_pred_0034,full_50hz,733.62,734.24,Clutch Release,0.941576,733.82,0.62,strong,streaming_rule_v2
full_50hz_pred_0035,full_50hz,748.94,749.44,Harsh Braking,1.0,749.04,0.5,strong,streaming_rule_v2
full_50hz_pred_0036,full_50hz,765.9,766.58,Harsh Braking,1.0,766.04,0.68,strong,streaming_rule_v2
full_50hz_pred_0037,full_50hz,793.44,793.82,Pothole/Bump,0.776402,793.48,0.38,moderate,streaming_rule_v2
full_50hz_pred_0038,full_50hz,823.24,823.86,Harsh Braking,1.0,823.36,0.62,strong,streaming_rule_v2
full_50hz_pred_0039,full_50hz,826.46,826.98,Harsh Acceleration,1.0,826.6,0.52,strong,streaming_rule_v2
full_50hz_pred_0040,full_50hz,836.86,837.32,Harsh Acceleration,1.0,836.96,0.46,strong,streaming_rule_v2
full_50hz_pred_0041,full_50hz,887.98,888.3,Harsh Braking,1.0,887.98,0.32,strong,streaming_rule_v2
full_50hz_pred_0042,full_50hz,908.28,908.84,Harsh Acceleration,1.0,908.42,0.56,strong,streaming_rule_v2
full_50hz_pred_0043,full_50hz,971.44,972.12,Harsh Braking,1.0,971.52,0.68,strong,streaming_rule_v2
full_50hz_pred_0044,full_50hz,973.28,974.76,Pothole/Bump,0.774155,973.32,1.48,moderate,streaming_rule_v2
full_50hz_pred_0045,full_50hz,990.88,991.42,Harsh Braking,1.0,990.92,0.54,strong,streaming_rule_v2
full_50hz_pred_0046,full_50hz,1040.34,1041.06,Harsh Braking,1.0,1040.46,0.72,strong,streaming_rule_v2
full_50hz_pred_0047,full_50hz,1052.56,1053.12,Harsh Acceleration,1.0,1052.72,0.56,strong,streaming_rule_v2
full_50hz_pred_0048,full_50hz,1060.94,1061.42,Harsh Acceleration,1.0,1061.08,0.48,strong,streaming_rule_v2
full_50hz_pred_0049,full_50hz,1063.06,1063.24,Harsh Acceleration,0.875,1063.08,0.18,strong,streaming_rule_v2
full_50hz_pred_0050,full_50hz,1073.2,1075.2,Pothole/Bump,1.0,1073.24,2.0,strong,streaming_rule_v2
full_50hz_pred_0051,full_50hz,1076.2,1076.5,Pothole/Bump,1.0,1076.24,0.3,strong,streaming_rule_v2
full_50hz_pred_0052,full_50hz,1081.5,1081.8,Pothole/Bump,0.629652,1081.64,0.3,weak,streaming_rule_v2
full_50hz_pred_0053,full_50hz,1100.68,1101.14,Harsh Acceleration,1.0,1100.7,0.46,strong,streaming_rule_v2
full_50hz_pred_0054,full_50hz,1121.44,1121.96,Pothole/Bump,0.785907,1121.84,0.52,moderate,streaming_rule_v2
full_50hz_pred_0055,full_50hz,1130.88,1131.74,Harsh Braking,1.0,1130.98,0.86,strong,streaming_rule_v2
